Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
11	Kimmuu	BENT BANANA Pug	Alliance	762.9	40	Jun 9	27:01	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
12	Monkmindset	N/A	Unknown	760.8	37	Jun 14	57:18	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Circle of Applied Force (19432)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
13	Birdwatcher	Hammerfall	Alliance	753.5	40	Jun 15	23:52	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Don Julio's Band (19325)	Zandalarian Hero Medallion (19949)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
14	Blackbearpig	The Company	Alliance	752.1	40	Jun 25	34:22	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Wyrmtongue Shoulders (13358)	Malfurion's Blessed Bulwark (19405)	Taut Dragonhide Belt (19396)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	Marshal's Dragonhide Gauntlets (16448)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
15	Pagliaccio	can we skip this pack	Alliance	746.8	39	Jun 12	30:18	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
16	Sparkyd	Smooth	Horde	746.2	40	Jun 30	49:11	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
17	Cnan	Malevolent PUG	Horde	744.2	40	May 19	25:12	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Zandalarian Hero Medallion (19949)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
18	Littleotter	ofc	Alliance	735.5	39	Apr 24	44:42	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Cloudrunner Girdle (13252)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
19	Ilsaac	N/A	Unknown	732.3	39	Jun 18	45:32	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Bracers of the Eclipse (18375)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
20	Salaxar	N/A	Unknown	725.1	40	May 14	24:11	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
21	Kushins	Shenanigans	Horde	724.2	38	Jun 23	36:41	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Breastplate of Bloodthirst (12757)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Rune of the Guard Captain (19120)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	N/A
22	Meatmansion	BLAST	Horde	722.5	40	Jun 19	33:00	Warlord's Dragonhide Helmet (16550)	The Eye of Hakkar (19856)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cloak of Firemaw (19398)	Manual Crowd Pummeler (9449)	N/A	N/A
23	Mazuruu	N/A	Unknown	720.3	40	Jun 27	26:17	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Champion's Dragonhide Shoulders (23254)	Legionnaire's Dragonhide Chestpiece (22877)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
24	Meatmansion	BLAST	Horde	710.9	40	Jun 12	35:56	Warlord's Dragonhide Helmet (16550)	The Eye of Hakkar (19856)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cloak of Firemaw (19398)	Manual Crowd Pummeler (9449)	N/A	N/A
25	Groupshowers	crayons taste purple	Horde	699.8	40	Jun 18	36:20	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Blooddrenched Footpads (19906)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
26	Deejrat	N/A	Unknown	697.4	39	Jun 27	18:27	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Rune of the Guard Captain (19120)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
27	Pagliaccio	can we skip this pack	Alliance	696.5	40	May 22	20:33	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
28	Jentro	Timewalkers	Alliance	696.0	40	Jun 12	22:06	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Bracers of the Eclipse (18375)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
29	Tvvist	The Pond pug	Horde	695.1	40	Jun 10	42:56	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Defiler's Leather Shoulders (20194)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Deathguard's Cloak (20068)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
