Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
26	Latzbuxx	Rote Rakete	Alliance	1,164.2	40	May 27	25:57	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Deepfury Bracers (13120)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
27	Nagatoro	Shattrath Fight Club	Alliance	1,161.9	40	Jun 18	34:23	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Deepfury Bracers (13120)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	N/A
28	Ursus	wiggle	Horde	1,154.9	40	Jul 3	51:58	Blooddrenched Mask (22718)	Prestor's Talisman of Connivery (19377)	Abyssal Leather Shoulders (20689)	Malfurion's Blessed Bulwark (19405)	Molten Belt (19163)	Blooddrenched Leggings (19889)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Doomhide Gauntlets (18544)	Band of Accuria (17063)	Circle of Applied Force (19432)	Hand of Justice (11815)	Zandalarian Hero Medallion (19949)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
29	Atieshprio	N/A	Unknown	1,154.6	39	Jun 5	21:36	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Molten Belt (19163)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
30	Wooters	Smooth	Horde	1,154.0	40	Jun 23	46:55	Blooddrenched Mask (22718)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Circle of Applied Force (19432)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
31	Poott	N/A	Unknown	1,152.3	40	Jun 25	26:57	Warlord's Dragonhide Helmet (16550)	Prestor's Talisman of Connivery (19377)	Abyssal Leather Shoulders (20689)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Quick Strike Ring (18821)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Zandalarian Hero Medallion (19949)	Windshear Cape (20691)	Manual Crowd Pummeler (9449)	N/A	N/A
32	Hobey	N/A	Unknown	1,148.7	38	Jun 21	33:04	Field Marshal's Dragonhide Helmet (16451)	Amulet of the Darkmoon (19491)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Darkmoon Card: Maelstrom (19289)	Zulian Tigerhide Cloak (19907)	Draconic Maul (19358)	N/A	N/A
33	Onemane	Exploding Labrats	Alliance	1,144.5	40	May 11	21:39	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Deepfury Bracers (13120)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
34	Markymarkxd	SQUAWK	Horde	1,142.1	41	Jun 26	41:34	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Champion's Dragonhide Shoulders (23254)	Legionnaire's Dragonhide Chestpiece (22877)	Molten Belt (19163)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Deepfury Bracers (13120)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Dark Phantom Cape (13122)	Manual Crowd Pummeler (9449)	N/A	N/A
35	Snowcicle	blurry	Alliance	1,133.3	39	Jun 21	27:48	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
36	Bearabletank	Full Circle	Alliance	1,131.0	40	May 14	20:54	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
37	Drono	The Pond pug	Horde	1,127.3	40	Jul 6	46:01	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Zandalarian Hero Medallion (19949)	Dark Phantom Cape (13122)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
38	Paange	dent	Alliance	1,126.5	40	Jun 1	22:14	Field Marshal's Dragonhide Helmet (16451)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
39	Tigermaim	iddqd Pug	Alliance	1,123.2	40	May 18	33:17	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
40	금수울트라	여대생	Alliance	1,120.8	40	Jun 20	46:31	Shadowcraft Cap (16707)	Prestor's Talisman of Connivery (19377)	Abyssal Leather Shoulders (20689)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Circle of Applied Force (19432)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
41	Jokar	Midnight	Alliance	1,119.9	39	Jun 20	39:00	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
42	Frostclaw	N/A	Unknown	1,119.6	39	Jun 23	38:59	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
43	Grandmashark	Cool Wipe - White	Alliance	1,116.1	40	Jun 11	24:52	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Myrmidon's Signet (2246)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
44	Appai	Gnomeboys pugs	Alliance	1,110.5	40	Jul 6	27:50	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Spaulders of the Unseen (13116)	Primal Batskin Jerkin (19685)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Sandstalker Ankleguards (12470)	Deepfury Bracers (13120)	Primal Batskin Gloves (19686)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Counterattack Lodestone (18537)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Manual Crowd Pummeler (9449)	N/A	N/A
45	Scrambles	Bulwark	Alliance	1,106.6	40	Jun 25	38:34	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Zandalarian Hero Medallion (19949)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
46	Aprikat	something to think about	Horde	1,106.4	40	May 7	36:03	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Bracers of the Eclipse (18375)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Zandalarian Hero Medallion (19949)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
47	Bearabletank	Full Circle	Alliance	1,106.3	40	Jul 2	24:27	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
48	Slichica	Gray Logs	Alliance	1,102.0	40	May 18	53:15	Field Marshal's Dragonhide Helmet (16451)	Amulet of the Darkmoon (19491)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Forest Stalker's Bracers (19587)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Zandalarian Hero Medallion (19949)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
49	Weebfurryqt	SMILE Pugs	Alliance	1,095.6	40	Jul 1	21:35	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
