Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
49	Rte	SQUAWK	Horde	97.0	40	Feb 19	1:37:49	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Ghoul Skin Leggings (18682)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Cyclopean Band (11824)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Drape of Benediction (18208)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
50	김떤떤	N/A	Unknown	96.1	39	Mar 9	1:29:58	Helmet of Ten Storms (16947)	Star of Mystaria (12103)	Deep Earth Spaulders (18829)	Antiquated Nobleman's Tunic (20642)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Nifty Stopwatch (2820)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	Witchblade (13964)	Therazane's Touch (19315)	N/A
51	Thunderass	N/A	Unknown	95.4	40	Jan 22	1:00:37	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Denwatcher's Shoulders (18494)	Chestplate of Tranquility (18373)	Ban'thok Sash (11662)	Silvermoon Leggings (18378)	Dragonrider Boots (18102)	Mighty Armsplints (10147)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Blesswind Hammer (15229)	Therazane's Touch (19315)	Egan's Blaster (13289)
52	Usedtobezeh	Unknown	Horde	94.9	39	Mar 1	49:56	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Mindsurge Robe (18532)	Whipvine Cord (18327)	Ghoul Skin Leggings (18682)	Merciful Greaves (18318)	Flarecore Wraps (18263)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Ring of Demonic Guile (18314)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
53	Iamtheliquor	Sauce	Horde	94.8	40	Feb 17	51:05	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Lead Surveyor's Mantle (11842)	Robes of the Exalted (13346)	Ornate Girdle (10122)	Ghoul Skin Leggings (18682)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Fallbrush Handgrips (13184)	Fordring's Seal (16058)	Cauterizing Band (19140)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Sapphiron Drape (17078)	Pip's Skinner (12709)	Lei of the Lifegiver (19312)	N/A
54	Shambush	N/A	Unknown	94.3	40	Jan 16	2:46:12	Insightful Hood (18490)	Barbed Thorn Necklace (18289)	Denwatcher's Shoulders (18494)	Chestplate of Tranquility (18373)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Bracers of Prosperity (18525)	Gordok's Gauntlets (18367)	Emerald Flame Ring (18395)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	N/A
55	Zemf	Omen	Horde	92.6	40	Jan 12	1:32:40	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Lead Surveyor's Mantle (11842)	Flamestrider Robes (11747)	Barrage Girdle (18721)	Luminary Kilt (11823)	Omnicast Boots (11822)	Earthfury Bracers (16840)	Dracorian Gauntlets (13344)	Seal of Rivendare (13345)	Eye of Orgrimmar (12545)	Burst of Knowledge (11832)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Witchblade (13964)	Spirit of Aquementas (11904)	Egan's Blaster (13289)
56	Zugge	N/A	Unknown	92.1	39	Feb 4	1:03:54	Engraved Helm (10235)	Barbed Thorn Necklace (18289)	Engraved Pauldrons (10237)	Wildthorn Mail (12624)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Engraved Bracers (10229)	Ogreseer Fists (11665)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Mighty Cloak (10148)	Mastersmith's Hammer (18048)	Flask of Forest Mojo (19115)	N/A
57	Groshkar	N/A	Unknown	91.7	38	Feb 26	2:14:52	Champion's Mail Headguard (23259)	Frostwolf Legionnaire's Pendant (19095)	Champion's Mail Pauldrons (23260)	Legionnaire's Mail Hauberk (22876)	Frostwolf Leather Belt (19089)	Devilsaur Leggings (15062)	Blood Guard's Mail Greaves (22857)	Lordly Armguards (13135)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Insignia of the Horde (18845)	Frostwolf Legionnaire's Cloak (19083)	Nightfall (19169)	N/A	Egan's Blaster (13289)
58	Forzaxd	N/A	Unknown	90.6	40	Feb 24	43:13	Helmet of Ten Storms (16947)	Tooth of Gnarr (13141)	Living Shoulders (15061)	Earthfury Vestments (16841)	Foresight Girdle (13387)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Second Wind (11819)	Sapphiron Drape (17078)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
