Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
67	Sabul	Via Dolorosa Pug	Horde	86.0	40	Jun 17	19:31	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Corehound Belt (19162)	Empowered Leggings (19385)	Verdant Footpads (13954)	Bracers of Ten Storms (16943)	Harmonious Gauntlets (18527)	Primalist's Seal (19863)	Primalist's Band (19920)	Second Wind (11819)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
68	Idkwindfurry	Der blutige Pfad PUG	Horde	85.0	40	Jul 1	29:22	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Rosewine Circle (13178)	Fordring's Seal (16058)	Mindtap Talisman (18371)	Shard of the Scale (17064)	Archivist Cape (13386)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
69	Jokic	N/A	Unknown	84.9	40	May 8	51:59	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Rosewine Circle (13178)	Natural Alignment Crystal (19344)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
70	Callumjr	N/A	Unknown	84.6	40	May 18	44:26	Crystal Adorned Crown (19132)	Animated Chain Necklace (18723)	Epaulets of Ten Storms (16945)	Robes of the Exalted (13346)	Corehound Belt (19162)	Padre's Trousers (18386)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
71	Lawz	livid	Horde	84.4	40	May 11	1:01:17	Helmet of Ten Storms (16947)	Choker of the Fire Lord (18814)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Corehound Belt (19162)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Ring of Blackrock (19397)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Sapphiron Drape (17078)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
72	观雷	N/A	Unknown	84.0	40	May 1	1:33:49	Helmet of Ten Storms (16947)	Tooth of Gnarr (13141)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	General's Mail Leggings (16579)	General's Mail Boots (16573)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Fordring's Seal (16058)	Briarwood Reed (12930)	Burst of Knowledge (11832)	Faded Hakkari Cloak (20218)	Sorcerous Dagger (18878)	Lei of the Lifegiver (19312)	N/A
73	Ashwolf	Body Pull	Horde	83.4	37	May 18	41:49	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Zandalar Augur's Bracers (19830)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Band of Sulfuras (19138)	Briarwood Reed (12930)	Natural Alignment Crystal (19344)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	N/A
74	Toya	N/A	Unknown	82.1	40	Mar 23	1:34:26	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Champion's Mail Pauldrons (23260)	Chestplate of Tranquility (18373)	Eyestalk Cord (18391)	Legplates of Ten Storms (16946)	Dragonrider Boots (18102)	Loomguard Armbraces (13969)	Elven Spirit Claws (2564)	Seal of Rivendare (13345)	Cyclopean Band (11824)	Royal Seal of Eldre'Thalas (18471)	Insignia of the Horde (18845)	Cloak of the Cosmos (18389)	Guiding Stave of Wisdom (11932)	N/A	N/A
75	Trollfemale	DRUMS PUG	Horde	81.4	40	Jun 16	27:15	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Animist's Spaulders (19928)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Second Wind (11819)	Shroud of Pure Thought (19430)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Totem of Rebirth (22345)
76	Totemdesel	N/A	Unknown	81.1	36	Jul 3	52:37	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Natural Alignment Crystal (19344)	Briarwood Reed (12930)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
77	Gergra	Tea Time	Horde	80.8	34	Jun 27	45:22	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Primalist's Linked Waistguard (19393)	Empowered Leggings (19385)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Natural Alignment Crystal (19344)	Deep Woodlands Cloak (19121)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
78	Meme	N/A	Unknown	79.3	40	May 8	30:48	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of Pure Thought (19437)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Rosewine Circle (13178)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
79	Sevaer	N/A	Unknown	79.2	40	May 21	26:19	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Epaulets of Ten Storms (16945)	Zandalar Augur's Hauberk (19828)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Zandalar Augur's Bracers (19830)	Gauntlets of Ten Storms (16948)	Rosewine Circle (13178)	Advisor's Ring (19518)	Royal Seal of Eldre'Thalas (18471)	Arena Grand Master (19024)	Hakkari Loa Cloak (19870)	High Warlord's Battle Mace (23464)	Malistar's Defender (17106)	Egan's Blaster (13289)
80	Healinside	N/A	Unknown	78.2	40	Jul 7	49:45	Blooddrenched Mask (22718)	Will of the Martyr (17044)	Black Brood Pauldrons (19373)	Breastplate of Ten Storms (16950)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Blooddrenched Footpads (19906)	Lordly Armguards (13135)	Seafury Gauntlets (20257)	Don Julio's Band (19325)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Hand of Justice (11815)	Might of the Tribe (22712)	Nightfall (19169)	N/A	N/A
81	Falloutiks	N/A	Unknown	77.0	40	Apr 24	1:10:39	Helmet of Ten Storms (16947)	Choker of Enlightenment (17109)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Padre's Trousers (18386)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Eye of Orgrimmar (12545)	Second Wind (11819)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Sorcerous Dagger (18878)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
82	Irabue	Knokploeg	Horde	76.7	40	Jun 5	52:48	Warlord's Mail Helm (16578)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Warlord's Mail Armor (16577)	Belt of Preserved Heads (20216)	General's Mail Leggings (16579)	General's Mail Boots (16573)	Primal Batskin Bracers (19687)	General's Mail Gauntlets (16574)	Seal of the Gurubashi Berserker (22722)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Frostwolf Legionnaire's Cloak (19083)	Draconic Avenger (19354)	N/A	N/A
83	无詺	N/A	Unknown	76.5	39	Mar 27	1:25:07	Helm of the Lifegiver (18870)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Barrage Girdle (18721)	Ghoul Skin Leggings (18682)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Rosewine Circle (13178)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Sorcerous Dagger (18878)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
