Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
89	Thiccswingin	N/A	Unknown	1,204.8	40	May 14	55:18	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of True Flight (18812)	Edgemaster's Handguards (14551)	Circle of Applied Force (19432)	Band of Accuria (17063)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of the Shrouded Mists (17102)	Thunderfury, Blessed Blade of the Windseeker (19019)	Core Hound Tooth (18805)	Blackcrow (12651)
90	Markymarkx	SQUAWK	Horde	1,202.4	40	May 28	51:51	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Archimtiros' Ring of Reckoning (19376)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	High Warlord's Quickblade (23467)	High Warlord's Blade (16345)	Blastershot Launcher (17072)
91	Brutherwz	bipolar	Horde	1,200.5	38	May 12	33:19	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Bracelets of Wrath (16959)	Edgemaster's Handguards (14551)	Band of Accuria (17063)	Archimtiros' Ring of Reckoning (19376)	Hand of Justice (11815)	Diamond Flask (20130)	Frostwolf Legionnaire's Cloak (19083)	High Warlord's Quickblade (23467)	High Warlord's Blade (16345)	Blastershot Launcher (17072)
92	꼴매기	여직원	Alliance	1,198.5	40	Jun 12	46:56	Field Marshal's Plate Helm (16478)	The Eye of Hakkar (19856)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of Firemaw (19398)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Swiftblade (23456)	Gurubashi Dwarf Destroyer (19853)
93	Ethans	Malevolent PUG	Horde	1,197.4	40	May 19	25:12	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Cloak of Firemaw (19398)	High Warlord's Quickblade (23467)	High Warlord's Cleaver (18828)	Blastershot Launcher (17072)
94	Enthozzw	N/A	Unknown	1,196.2	40	Jul 7	51:02	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of True Flight (18812)	Edgemaster's Handguards (14551)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Thunderfury, Blessed Blade of the Windseeker (19019)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
95	Moonkie	Nevermind	Alliance	1,194.7	40	Jun 2	24:06	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Bloodseeker (19107)
96	Telgar	Press W	Alliance	1,194.6	40	May 21	13:02	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Goblin Rocket Boots (7189)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Bloodseeker (19107)
97	Kinsym	N/A	Unknown	1,194.1	40	Jun 12	39:24	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of the Shrouded Mists (17102)	High Warlord's Quickblade (23467)	High Warlord's Quickblade (23467)	Dragonbreath Hand Cannon (19368)
98	Sc	WOODDEPARTMENT	Alliance	1,192.8	39	May 24	57:20	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Bracelets of Wrath (16959)	Marshal's Plate Gauntlets (16484)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Longsword (12584)	Blastershot Launcher (17072)
99	Obiwonagain	Smooth	Horde	1,192.5	40	Jul 8	54:51	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Aged Core Leather Gloves (18823)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of the Shrouded Mists (17102)	Alcor's Sunrazor (14555)	High Warlord's Razor (18840)	Blastershot Launcher (17072)
100	Dahkniss	NOC	Alliance	1,190.2	40	Jun 30	28:38	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Grand Marshal's Swiftblade (23456)	Crul'shorukh, Edge of Chaos (19363)	Dragonbreath Hand Cannon (19368)
