Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
86	Gordsy	Smooth	Horde	2,048.0	40	Jul 8	54:51	Champion's Plate Helm (23244)	Vermilion Necklace (12027)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Berserker Bracers (19578)	Edgemaster's Handguards (14551)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Razor (18840)	Striker's Mark (17069)
87	Pigchamp	something to think about	Horde	2,046.4	40	Jul 8	42:41	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
88	Android	something to think about	Horde	2,045.3	40	Jul 8	42:41	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
89	Helluzug	Smooth	Horde	2,043.5	40	Jun 27	51:28	Warlord's Plate Headpiece (16542)	Frostwolf Legionnaire's Pendant (19095)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Frostwolf Legionnaire's Cloak (19083)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Satyr's Bow (18323)
90	Yomrrage	based	Alliance	2,043.4	40	Jul 6	1:01:22	Lieutenant Commander's Plate Helmet (23314)	The Eye of Hakkar (19856)	Lieutenant Commander's Plate Shoulders (23315)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Gurubashi Dwarf Destroyer (19853)
91	Hsw	SQUAWK	Horde	2,042.9	40	Jul 8	48:38	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Commander's Armor (10378)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Bloodseeker (19107)
92	Angrywumbo	GG	Horde	2,038.1	41	Jun 19	1:20:09	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Blastershot Launcher (17072)
93	Zlat	GG	Horde	2,037.1	40	Jun 10	1:00:8	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Berserker Bracers (19578)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Deathguard's Cloak (20068)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
94	Oziach	The Pond pug	Horde	2,037.1	40	Jun 23	42:47	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Striker's Mark (17069)
95	Oogha	wiggle 2	Horde	2,036.6	40	Jun 23	49:57	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
