Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
47	Unforgivenn	Mythic	Alliance	255.9	20	May 3	0:46	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Band of the Unicorn (7553)	Band of the Unicorn (7553)	Styleen's Impeding Scarab (19431)	Force of Will (11810)	Stormpike Sage's Cloak (19086)	Flurry Axe (871)	Skullflame Shield (1168)	N/A
48	Palandrome	N/A	Unknown	253.9	20	May 31	1:05	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Songstone of Ironforge (12543)	Naglering (11669)	Onyxia Blood Talisman (18406)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Aegis of the Blood God (19862)	Egan's Blaster (13289)
49	Iridita	Под Пивас Без Фласок	Alliance	253.8	19	Jun 9	1:12	Judgment Crown (16955)	Talisman of Protection (19871)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Wristguards of Stability (19146)	Judgment Gauntlets (16956)	Naglering (11669)	Songstone of Ironforge (12543)	Counterattack Lodestone (18537)	Essence of the Pure Flame (18815)	Cloak of the Hakkari Worshippers (22711)	Bloodcaller (19864)	Grand Marshal's Aegis (18825)	N/A
50	Trendh	N/A	Unknown	252.6	20	Jul 2	1:07	Judgment Crown (16955)	Orb of the Darkmoon (19426)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Zanzil's Seal (19893)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Aurastone Hammer (17105)	Drillborer Disk (17066)	N/A
51	Lórenzo	Duskborn Crusade	Alliance	251.2	20	Jun 1	1:04	Judgment Crown (16955)	Stormpike Sage's Pendant (19098)	Judgment Spaulders (16953)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Blood of the Martyr (17045)	Archimtiros' Ring of Reckoning (19376)	Briarwood Reed (12930)	Onyxia Blood Talisman (18406)	Sapphiron Drape (17078)	Bloodcaller (19864)	Drillborer Disk (17066)	N/A
52	Wholly	N/A	Unknown	249.7	20	May 9	0:42	Field Marshal's Lamellar Faceguard (16474)	Pendant of the Fallen Dragon (19371)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Soulforge Belt (22086)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Lawbringer Bracers (16857)	Marshal's Lamellar Gloves (16471)	Overlord's Onyx Band (19912)	Naglering (11669)	Briarwood Reed (12930)	Hand of Justice (11815)	Redoubt Cloak (18495)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	Egan's Blaster (13289)
53	Evilsushi	Whiskers	Alliance	248.3	20	May 20	1:22	Judgment Crown (16955)	Medallion of Grand Marshal Morris (13091)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Stonegrip Gauntlets (13072)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Briarwood Reed (12930)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Quel'Serrar (18348)	Malistar's Defender (17106)	N/A
54	Yulika	N/A	Unknown	247.5	18	Jun 16	1:14	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Vigorsteel Vambraces (13951)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Overlord's Onyx Band (19912)	Overlord's Crimson Band (19873)	Briarwood Reed (12930)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Quel'Serrar (18348)	Malistar's Defender (17106)	N/A
55	Bubblebernd	Never Idle	Alliance	247.3	19	May 7	1:29	Judgment Crown (16955)	Eskhandar's Collar (18205)	Stockade Pauldrons (14552)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Magma Tempered Boots (18824)	Judgment Bindings (16951)	Deathbone Gauntlets (14622)	Overlord's Crimson Band (19873)	Naglering (11669)	Briarwood Reed (12930)	Force of Will (11810)	Fireproof Cloak (18811)	Flurry Axe (871)	Drillborer Disk (17066)	Egan's Blaster (13289)
56	Dantherex	N/A	Unknown	240.4	20	May 26	0:57	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Bloodsoaked Greaves (19913)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Crimson Band (19873)	Overlord's Onyx Band (19912)	Onyxia Blood Talisman (18406)	Stormpike Insignia Rank 6 (17904)	Elementium Threaded Cloak (19386)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	Egan's Blaster (13289)
