Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
90	Onkelkonkel	N/A	Unknown	45.0	19	Jan 16	7:37	Insightful Hood (18490)	Choker of Enlightenment (17109)	Kentic Amice (11624)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Padre's Trousers (18386)	Merciful Greaves (18318)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Eye of the Beast (13968)	Briarwood Reed (12930)	Archivist Cape (13386)	Energetic Rod (18321)	Rattlecage Buckler (14528)	Egan's Blaster (13289)
91	Miniac	N/A	Unknown	44.9	28	Mar 9	4:05	Helmet of Ten Storms (16947)	Choker of Enlightenment (17109)	Deep Earth Spaulders (18829)	Robes of the Exalted (13346)	Cord of Elements (16673)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Dragonslayer's Signet (18403)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	Staff of Dominance (18842)	N/A	N/A
92	Daddyshock	Second Breakfast	Horde	44.8	39	Mar 5	2:15	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Fallbrush Handgrips (13184)	Fordring's Seal (16058)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Second Wind (11819)	Spritecaster Cape (11623)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
93	Girodeux	Jinxed it	Horde	44.8	39	Feb 13	3:02	Helm of Latent Power (18807)	Emberfury Talisman (12929)	Deep Earth Spaulders (18829)	Wildthorn Mail (12624)	Barrage Girdle (18721)	Legionnaire's Mail Legguards (22887)	Dragonrider Boots (18102)	Loomguard Armbraces (13969)	Blood Guard's Mail Vices (22867)	Lagrave's Seal (12038)	Blood of the Martyr (17045)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Lorespinner (18491)	Spirit of Aquementas (11904)	Egan's Blaster (13289)
94	Badswfbot	Cold One Crackers	Horde	44.5	39	Mar 10	1:46	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Champion's Mail Pauldrons (23260)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Rosewine Circle (13178)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
95	Bakaak	N/A	Unknown	44.5	36	Feb 26	2:16	Helmet of Ten Storms (16947)	Frostwolf Advisor's Pendant (19096)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Legionnaire's Mail Legguards (22887)	Merciful Greaves (18318)	Magistrate's Cuffs (18726)	Earthfury Gauntlets (16839)	Ring of Demonic Guile (18314)	Seal of the Archmagus (17110)	Royal Seal of Eldre'Thalas (18471)	Mindtap Talisman (18371)	Archivist Cape (13386)	Hyperthermically Insulated Lava Dredger (18803)	N/A	N/A
96	Jontedogx	N/A	Unknown	44.3	18	Feb 13	5:38	Green Lens (10504)	Barbed Thorn Necklace (18289)	Earthfury Epaulets (16844)	Wildthorn Mail (12624)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Modest Armguards (18458)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Gizlock's Hypertech Buckler (17718)	N/A
97	丨白手起家丨	N/A	Unknown	44.2	29	Jan 18	10:25	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Ghoul Skin Leggings (18682)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Band of Rumination (18103)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	Earthshaker (17073)	N/A	N/A
98	Cano	N/A	Unknown	44.1	24	Feb 4	2:30	Insightful Hood (18490)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Cauterizing Band (19140)	Fordring's Seal (16058)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Sacred Protector (16998)	Egan's Blaster (13289)
99	Echodonaldz	Mud Hut	Horde	43.8	21	Feb 5	4:42	Crown of the Penitent (13216)	Conqueror's Medallion (12059)	Royal Cap Spaulders (14548)	Devout Robe (16690)	Whipvine Cord (18327)	Ghoul Skin Leggings (18682)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Fallbrush Handgrips (13184)	Painweaver Band (13098)	Blackstone Ring (17713)	Mark of the Chosen (17774)	Hand of Justice (11815)	Archivist Cape (13386)	Hammer of the Vesper (18683)	Brightly Glowing Stone (18523)	Egan's Blaster (13289)
100	Pellemu	N/A	Unknown	43.5	18	Mar 16	4:57	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Salamander Scale Pants (18875)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Shard of the Scale (17064)	Briarwood Reed (12930)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
