Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
91	Bobalover	N/A	Unknown	60.3	20	Jun 28	0:36	Earthfury Helmet (16842)	Pendant of the Fallen Dragon (19371)	Earthfury Epaulets (16844)	Wanderer's Armor (10105)	Belt of Ten Storms (16944)	Abyssal Leather Leggings (20665)	Animist's Boots (19892)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Rosewine Circle (13178)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Zulian Scepter of Rites (22713)	Arlokk's Hoodoo Stick (19922)	N/A
92	Jala	N/A	Unknown	60.3	20	May 12	1:04	Helmet of Ten Storms (16947)	Frostwolf Advisor's Pendant (19096)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Bracers of Ten Storms (16943)	Earthfury Gauntlets (16839)	Band of Rumination (18103)	Emerald Flame Ring (18395)	Mindtap Talisman (18371)	Briarwood Reed (12930)	Archivist Cape (13386)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
93	Wonders	SQUAWK	Horde	60.2	20	May 2	0:37	Helm of the Lifegiver (18870)	Frostwolf Advisor's Pendant (19096)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Sash of Mercy (14553)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Cauterizing Band (19140)	Rosewine Circle (13178)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Shroud of Pure Thought (19430)	The Hammer of Grace (11923)	Red Dragonscale Protector (19348)	N/A
94	Gathraku	N/A	Unknown	60.2	20	May 11	0:57	Earthfury Helmet (16842)	Frostwolf Advisor's Pendant (19096)	Living Shoulders (15061)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Padre's Trousers (18386)	Boots of the Full Moon (18507)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Rosewine Circle (13178)	Royal Seal of Eldre'Thalas (18471)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
95	Telia	APES TOGETHER STRONG	Horde	60.1	19	May 7	0:43	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Shimmering Geta (19391)	Bracers of Ten Storms (16943)	Gloves of Restoration (18309)	Pure Elementium Band (19382)	Ring of Blackrock (19397)	Mar'li's Eye (19930)	Shard of the Scale (17064)	Hide of the Wild (18510)	Claw of Chromaggus (19347)	Malistar's Defender (17106)	N/A
96	Vrothklyxz	N/A	Unknown	60.1	20	May 2	0:55	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Splinthide Shoulders (11685)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Blood Guard's Mail Greaves (22857)	Brazecore Armguards (13179)	Gauntlets of Ten Storms (16948)	Lagrave's Seal (12038)	Band of Sulfuras (19138)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Royal Tribunal Cloak (13376)	Cold Forged Hammer (20648)	Lei of the Lifegiver (19312)	N/A
97	Morboh	N/A	Unknown	59.9	20	Jun 30	0:37	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Pure Elementium Band (19382)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Shard of the Scale (17064)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Totem of Rebirth (22345)
98	Skiva	N/A	Unknown	59.7	15	May 11	1:24	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Omnicast Boots (11822)	Bracers of Ten Storms (16943)	Bloodtinged Gloves (19929)	Cyclopean Band (11824)	Rosewine Circle (13178)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	Mining Pick (2901)	Red Dragonscale Protector (19348)	N/A
99	閃電丶五連鞭	N/A	Unknown	58.9	20	Jun 5	1:16	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Warlord's Mail Armor (16577)	Mana Igniting Cord (19136)	General's Mail Leggings (16579)	General's Mail Boots (16573)	Bracers of Arcane Accuracy (19374)	Blood Guard's Mail Vices (22867)	Band of Forced Concentration (19403)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	High Warlord's Spellblade (23466)	Elementium Reinforced Bulwark (19349)	N/A
100	Furiosa	N/A	Unknown	58.7	20	May 3	1:24	Helmet of Ten Storms (16947)	Frostwolf Advisor's Pendant (19096)	Splinthide Shoulders (11685)	Nature's Embrace (17741)	Feralsurge Girdle (18104)	Spiritshroud Leggings (12965)	Omnicast Boots (11822)	Bindings of Elements (16671)	Silkweb Gloves (11634)	Fordring's Seal (16058)	Cyclopean Band (11824)	Briarwood Reed (12930)	Enamored Water Spirit (20503)	Frostwolf Advisor's Cloak (19085)	Cold Forged Hammer (20648)	Lei of the Lifegiver (19312)	N/A
