Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
44	Tartinnes	N/A	Unknown	108.8	40	Jun 15	57:23	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Naglering (11669)	Ring of Blackrock (19397)	Argent Dawn Commission (12846)	Styleen's Impeding Scarab (19431)	Dragon's Blood Cape (17107)	Quel'Serrar (18348)	Malistar's Defender (17106)	N/A
45	Wholly	Class Action	Alliance	105.1	35	Jun 8	1:06:27	Field Marshal's Lamellar Faceguard (16474)	Medallion of Steadfast Might (17065)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Soulforge Belt (22086)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Overlord's Onyx Band (19912)	Overlord's Crimson Band (19873)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Redoubt Cloak (18495)	Bloodlord's Defender (19867)	Aegis of the Blood God (19862)	Egan's Blaster (13289)
46	仙女小妹	N/A	Unknown	105.0	40	May 6	47:30	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Stockade Pauldrons (14552)	Ornate Adamantium Breastplate (15413)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Boots of Avoidance (14549)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Ring of Binding (18813)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Elementium Threaded Cloak (19386)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	Egan's Blaster (13289)
47	Rayi	N/A	Unknown	104.9	40	Jun 1	1:18:40	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Stockade Pauldrons (14552)	Judgment Breastplate (16958)	Judgment Belt (16952)	Legguards of the Fallen Crusader (19402)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Onyx Band (19912)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Dragon's Blood Cape (17107)	Fiery Retributer (19968)	Drillborer Disk (17066)	N/A
48	万菟睡	N/A	Unknown	96.6	40	Jun 2	1:23:56	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lawbringer Spaulders (16856)	Lawbringer Chestguard (16853)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Deathbone Gauntlets (14622)	Naglering (11669)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Redoubt Cloak (18495)	Azuresong Mageblade (17103)	Drillborer Disk (17066)	Egan's Blaster (13289)
49	Affru	N/A	Unknown	94.5	40	Jun 9	1:45:02	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Stockade Pauldrons (14552)	Knight-Captain's Lamellar Breastplate (23272)	Lawbringer Belt (16858)	Flamewaker Legplates (18861)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Ring of Binding (18813)	Overlord's Onyx Band (19912)	Force of Will (11810)	Stormpike Insignia Rank 6 (17904)	Overlord's Embrace (19888)	Flurry Axe (871)	Aegis of the Blood God (19862)	N/A
50	听晚风吹心里	N/A	Unknown	91.4	40	May 23	1:41:10	Dark Iron Helm (19148)	Medallion of Steadfast Might (17065)	Stockade Pauldrons (14552)	Hydralick Armor (13067)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Lawbringer Bracers (16857)	Bloodsoaked Gauntlets (19894)	Ring of Binding (18813)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Onyxia Scale Cloak (15138)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	N/A
51	妙妙山勇士	N/A	Unknown	90.7	40	Jun 19	43:57	Dark Iron Helm (19148)	Drakefire Amulet (16309)	Judgment Spaulders (16953)	Zandalar Freethinker's Breastplate (19825)	Judgment Belt (16952)	Dark Iron Leggings (17013)	Judgment Sabatons (16957)	Dark Iron Bracers (17014)	Dark Iron Gauntlets (19164)	Archimtiros' Ring of Reckoning (19376)	Heavy Dark Iron Ring (18879)	Blazing Emblem (2802)	Onyxia Blood Talisman (18406)	Onyxia Scale Cloak (15138)	Bloodlord's Defender (19867)	Draconian Deflector (12602)	Libram of Hope (22401)
52	Dìskar	N/A	Unknown	90.5	40	Jun 28	1:34:26	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Dreamwalker Armor (13123)	Deathbone Girdle (14620)	Deathbone Legguards (14623)	Deathbone Sabatons (14621)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Overlord's Crimson Band (19873)	Onyxia Blood Talisman (18406)	Zandalarian Hero Charm (19950)	Spritecaster Cape (11623)	Quel'Serrar (18348)	Aegis of the Blood God (19862)	N/A
53	Alariic	GOATS	Alliance	87.6	40	May 3	1:08:55	Judgment Crown (16955)	Choker of Enlightenment (17109)	Judgment Spaulders (16953)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Naglering (11669)	Heavy Dark Iron Ring (18879)	Royal Seal of Eldre'Thalas (18472)	Styleen's Impeding Scarab (19431)	Spritecaster Cape (11623)	Flurry Axe (871)	Elementium Reinforced Bulwark (19349)	Egan's Blaster (13289)
