Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
28	Claridin	Skedaddle	Alliance	67.1	38	May 11	43:40	Insightful Hood (18490)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
29	Brofa	based	Alliance	65.2	40	May 11	54:10	Insightful Hood (18490)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of Pure Thought (19437)	Gallant's Wristguards (18459)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	N/A
30	Holytanklol	N/A	Unknown	64.3	40	May 19	1:44:25	Lawbringer Helm (16854)	Talisman of Protection (19871)	Lawbringer Spaulders (16856)	Lawbringer Chestguard (16853)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Bloodsoaked Greaves (19913)	Zandalar Freethinker's Armguards (19827)	Deathbone Gauntlets (14622)	Overlord's Crimson Band (19873)	Band of the Unicorn (7553)	Ward of the Elements (12065)	Guardian Talisman (1490)	Stormpike Sage's Cloak (19086)	Aurastone Hammer (17105)	Drillborer Disk (17066)	N/A
31	Retrika	N/A	Unknown	61.8	38	Apr 9	1:41:43	Judgment Crown (16955)	Animated Chain Necklace (18723)	Lawbringer Spaulders (16856)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Gallant's Wristguards (18459)	Judgment Gauntlets (16956)	Cauterizing Band (19140)	Fordring's Seal (16058)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18472)	Frostweaver Cape (12968)	Azuresong Mageblade (17103)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
32	Klv	based	Alliance	61.2	40	Jul 6	1:01:22	Insightful Hood (18490)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	Corehound Belt (19162)	Judgment Legplates (16954)	Boots of Pure Thought (19437)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Torch of Holy Flame (7344)	N/A
33	Forienn	Time Zone	Alliance	57.2	40	Jun 21	1:03:54	Zulian Headdress (22720)	Stormpike Sage's Pendant (19098)	Lawbringer Spaulders (16856)	Knight-Captain's Lamellar Breastplate (23272)	Zandalar Freethinker's Belt (19826)	Peacekeeper Leggings (20266)	Judgment Sabatons (16957)	Bracers of Prosperity (18525)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18472)	Hakkari Loa Cloak (19870)	Bloodcaller (19864)	Lei of the Lifegiver (19312)	N/A
34	Johanpaladin	N/A	Unknown	56.7	40	Jun 13	43:47	Judgment Crown (16955)	Pendant of the Fallen Dragon (19371)	Judgment Spaulders (16953)	Lawbringer Chestguard (16853)	Lawbringer Belt (16858)	Lawbringer Legplates (16855)	Lawbringer Boots (16859)	Judgment Bindings (16951)	Lawbringer Gauntlets (16860)	Blood of the Martyr (17045)	Songstone of Ironforge (12543)	Royal Seal of Eldre'Thalas (18472)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Hand of Edward the Odd (2243)	Draconian Deflector (12602)	Egan's Blaster (13289)
35	Ddangz	WAR BOYS	Alliance	56.5	40	Jul 1	25:36	Judgment Crown (16955)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Red Dragonscale Breastplate (15047)	Corehound Belt (19162)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	Energetic Rod (18321)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
36	Blastz	noted	Alliance	54.0	38	May 15	29:08	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Judgment Belt (16952)	Salamander Scale Pants (18875)	Judgment Sabatons (16957)	Bracers of Prosperity (18525)	Judgment Gauntlets (16956)	Magni's Will (12548)	Blackstone Ring (17713)	Royal Seal of Eldre'Thalas (18472)	Briarwood Reed (12930)	Hakkari Loa Cloak (19870)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
37	Zeras	B R I C K E D	Alliance	53.5	40	Jul 8	19:48	Judgment Crown (16955)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	Judgment Belt (16952)	Salamander Scale Pants (18875)	Lawbringer Boots (16859)	Blacklight Bracer (19135)	Peacekeeper Gauntlets (20264)	Ring of Blackrock (19397)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Second Wind (11819)	Shroud of Pure Thought (19430)	Jin'do's Hexxer (19890)	Torch of Holy Flame (7344)	N/A
