Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
21	Póni	Outlaws	Alliance	340.0	40	Aug 17	1:57:30	Avenger's Crown (21387)	The Eye of Hakkar (19856)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Belt of Never-Ending Agony (21586)	Avenger's Legguards (21390)	Marshal's Lamellar Boots (16472)	Bracers of Brutality (21457)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
22	Xehpa	my buffs	Alliance	331.7	38	Aug 6	1:49:00	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Tombstone Breastplate (13944)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Bloodmail Boots (14616)	Gordok Bracers of Power (18533)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Fervor (23203)
23	纯洁的梦	光辉岁月-海阔天空-再见理想	Alliance	321.6	39	Aug 8	1:00:14	Avenger's Crown (21387)	The Eye of Hakkar (19856)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Therazane's Link (19380)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Qiraji Execution Bracers (21602)	Gauntlets of Annihilation (21581)	Circle of Applied Force (19432)	Seal of Jin (19898)	Neltharion's Tear (19379)	Drake Fang Talisman (19406)	Cloak of the Fallen God (21710)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Hope (22401)
24	Netter	Inside Out	Alliance	319.3	38	Aug 15	2:16:31	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Savage Gladiator Chain (11726)	Ossirian's Binding (21463)	Avenger's Legguards (21390)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
25	Banon	Delirium	Alliance	319.3	39	Aug 13	1:46:02	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Runed Bloodstained Hauberk (19904)	Belt of Preserved Heads (20216)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Sacrificial Gauntlets (22714)	Quick Strike Ring (18821)	Band of Accuria (17063)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Blackveil Cape (11626)	Dark Edge of Insanity (21134)	N/A	Libram of Fervor (23203)
26	Thegrave	Defias Brotherhood	Alliance	316.7	40	Aug 6	2:12:42	Field Marshal's Lamellar Faceguard (16474)	Amulet of the Darkmoon (19491)	Field Marshal's Lamellar Pauldrons (16476)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Dark Phantom Cape (13122)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
27	Feodyn	Big Yikes	Alliance	315.3	40	Aug 4	57:12	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Hope (22401)
28	Azumarill	N/A	Unknown	312.9	40	Aug 15	1:44:58	Avenger's Crown (21387)	Amulet of the Darkmoon (19491)	Avenger's Pauldrons (21391)	Savage Gladiator Chain (11726)	Girdle of the Fallen Crusader (19392)	Avenger's Legguards (21390)	Slime Kickers (21490)	Vambraces of the Sadist (13400)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Quick Strike Ring (18821)	Signet Ring of the Bronze Dragonflight (21204)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Firemaw (19398)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
29	Morganos	TERÄS	Alliance	312.3	40	Aug 10	1:39:20	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Battlechaser's Greaves (12555)	Wristguards of True Flight (18812)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Nightfall (19169)	N/A	Libram of Fervor (23203)
30	Nelieli	Kotipizza	Alliance	311.6	40	Aug 10	1:07:46	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Therazane's Link (19380)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Blackmist Armguards (12966)	Marshal's Lamellar Gloves (16471)	Seal of Jin (19898)	Don Julio's Band (19325)	Darkmoon Card: Maelstrom (19289)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Bonereaver's Edge (17076)	N/A	Libram of Fervor (23203)
